ticker,date,open,high,low,close,volume,prev_close,prev_high,pm_high_ratio,gap_amount,open_prev_high_ratio,pm_vol,ema200,ema_ratio,market_cap_millions,historical_days,ema_valid,scan_date
FAMI,2025-01-15,6.2412,7.0728,3.3624,3.5892,5696813.4167,3.7656,3.8388,0.8782664117272148,2.4756,0.62582056892779,5696813.4167,6.72167415363793,0.5339741138831372,3.3510554514,342,1,2025-01-15
VMAR,2025-01-15,20.3,25.5,17.0,20.5,6713318.7,14.0,15.584,0.8214285714285714,6.300000000000001,0.30261806981519523,6713318.7,532.8182724165816,0.038474656484701344,3.9909645999999994,342,1,2025-01-15
PRFX,2025-02-18,5.27,5.4699,3.3706,3.71,43838517.0,2.82,2.85,0.9396808510638299,2.4499999999999997,0.8491228070175436,43838517.0,11.459553437732396,0.3237473449693281,2.4671108399999997,340,1,2025-02-18
KWE,2025-02-18,16.464,26.46,14.8157,16.6782,13696641.9048,9.807,10.3383,1.6980728051391862,6.656999999999998,0.5925248832012999,13696641.9048,62.21276212109094,0.26808325866544147,3.263033141,340,1,2025-02-18
FTFT,2025-03-03,3.756,4.997,2.2,2.52,22002598.0,2.02,2.199,1.4737623762376235,1.7359999999999998,0.7080491132332878,22002598.0,4.276157963631072,0.5893140574863511,4.191000454,340,1,2025-03-03
GRI,2025-04-01,9.33,11.12,2.0,2.02,12187923.0,3.2,4.75,2.4749999999999996,6.13,0.9642105263157894,12187923.0,87.09765298367438,0.02319235858604169,1.6811456,340,1,2025-04-01
ICCT,2025-04-01,3.16,5.42,2.91,4.72,209709483.0,2.24,2.37,1.4196428571428568,0.9199999999999999,0.33333333333333326,209709483.0,7.12124920598876,0.6628050589818735,4.64356928,340,1,2025-04-01
MURA,2025-04-15,2.3,3.2099,2.21,2.41,259771623.0,1.03,1.0696,2.1164077669902914,1.2699999999999998,1.1503365744203435,259771623.0,3.3506060842774046,0.7192728537409504,17.745139730000002,341,1,2025-04-15
ZCAR,2025-05-01,10.54,18.0,9.6,10.3,47595534.0,4.07,4.24,3.4226044226044223,6.469999999999999,1.4858490566037732,47595534.0,485.82019897984486,0.02120125927581557,2.5342254,334,1,2025-05-01
LYRA,2025-06-02,29.01,37.5,8.65,20.25,26856817.0,4.93,5.3423,6.606490872210954,24.080000000000002,4.430245399921382,26856817.0,26.17451908669601,0.7736531828121601,0.1163652032,342,1,2025-06-02
OGEN,2025-06-02,8.1,9.6,4.887,5.01,9059057.9,3.6,4.11,1.6666666666666665,4.5,0.970802919708029,9059057.9,16.991006229479,0.2948618776507636,4.123255488,342,1,2025-06-02
SONM,2025-06-16,1.53,2.14,1.3,1.68,113348717.0,0.9298,1.12,1.3015702301570231,0.6002000000000001,0.3660714285714284,113348717.0,2.579728924089757,0.6512312143776031,11.535690247399998,342,1,2025-06-16
GPUS,2025-07-01,2.02,2.23,1.37,1.42,115714489.0,1.4,1.4,0.592857142857143,0.6200000000000001,0.44285714285714306,115714489.0,4.370922842467753,0.3248741858820575,9.454144699999999,201,1,2025-07-01
TIVC,2025-08-15,5.09,5.6,3.51,3.79,41387868.0,3.5,3.7,0.5999999999999999,1.5899999999999999,0.3756756756756756,41387868.0,5.08825498105042,0.7448526094141595,3.642968,344,1,2025-08-15
STSS,2025-08-25,11.4,13.2799,10.0,10.35,24815951.0,7.355,7.45,0.80556084296397,4.045,0.5302013422818792,24815951.0,317.1956105900199,0.03262970751943201,7.525738970000001,342,1,2025-08-25
HCWB,2025-08-25,5.47,7.35,4.9,5.55,87688859.0,3.451,3.48,1.129817444219067,2.0189999999999997,0.5718390804597699,87688859.0,12.19598875631735,0.45506765469303817,7.407920051,342,1,2025-08-25
