ticker,date,chart_path,expected_pnl,actual_pnl,validation_status,chart_link
VAPE,2025-07-28,charts/VAPE_2025-07-28_short_execution_chart.png,-0.0394291321573493,-4.6711497627397405,invalid,file://charts/VAPE_2025-07-28_short_execution_chart.png
VWAV,2025-07-28,charts/VWAV_2025-07-28_short_execution_chart.png,1.80881705031384,-57.91129069707291,invalid,file://charts/VWAV_2025-07-28_short_execution_chart.png
CELC,2025-07-28,charts/CELC_2025-07-28_short_execution_chart.png,-0.0079319373146566,6.180920075359145,invalid,file://charts/CELC_2025-07-28_short_execution_chart.png
GTI,2025-07-28,charts/GTI_2025-07-28_short_execution_chart.png,1.332085886976741,4.7630629860132965,invalid,file://charts/GTI_2025-07-28_short_execution_chart.png
SLRX,2025-07-29,charts/SLRX_2025-07-29_short_execution_chart.png,1.3453962767829923,10.41661939807729,invalid,file://charts/SLRX_2025-07-29_short_execution_chart.png
CLDI,2025-07-29,charts/CLDI_2025-07-29_short_execution_chart.png,-0.0381100882903652,10.026886790427202,invalid,file://charts/CLDI_2025-07-29_short_execution_chart.png
REPL,2025-07-30,charts/REPL_2025-07-30_short_execution_chart.png,1.1519241097145785,-4.497579162978182,invalid,file://charts/REPL_2025-07-30_short_execution_chart.png
BGLC,2025-07-30,charts/BGLC_2025-07-30_short_execution_chart.png,1.9781792657362376,7.849832134176669,invalid,file://charts/BGLC_2025-07-30_short_execution_chart.png
SNGX,2025-07-31,charts/SNGX_2025-07-31_short_execution_chart.png,1.7533441077686476,-26.57686387150342,invalid,file://charts/SNGX_2025-07-31_short_execution_chart.png
PHLT,2025-08-01,charts/PHLT_2025-08-01_short_execution_chart.png,0.3636261735619351,0.12350370533429807,validated,file://charts/PHLT_2025-08-01_short_execution_chart.png
MWYN,2025-08-01,charts/MWYN_2025-08-01_short_execution_chart.png,1.8980717699894805,8.825164127651751,invalid,file://charts/MWYN_2025-08-01_short_execution_chart.png
VERB,2025-08-04,charts/VERB_2025-08-04_short_execution_chart.png,2.064570372619748,-14.077708560991926,invalid,file://charts/VERB_2025-08-04_short_execution_chart.png
COMM,2025-08-04,charts/COMM_2025-08-04_short_execution_chart.png,1.8705409676952416,0.5040445748575444,invalid,file://charts/COMM_2025-08-04_short_execution_chart.png
SCS,2025-08-04,charts/SCS_2025-08-04_short_execution_chart.png,2.1040881471377446,-4.987997426636605,invalid,file://charts/SCS_2025-08-04_short_execution_chart.png
SNGX,2025-08-04,charts/SNGX_2025-08-04_short_execution_chart.png,1.734886476107043,10.39239025556463,invalid,file://charts/SNGX_2025-08-04_short_execution_chart.png
SMXT,2025-08-05,charts/SMXT_2025-08-05_short_execution_chart.png,1.3374745078047392,3.534758102385642,invalid,file://charts/SMXT_2025-08-05_short_execution_chart.png
YMAB,2025-08-05,charts/YMAB_2025-08-05_short_execution_chart.png,2.1274557356356913,-0.4634656263322296,invalid,file://charts/YMAB_2025-08-05_short_execution_chart.png
AIP,2025-08-05,charts/AIP_2025-08-05_short_execution_chart.png,2.0970154783181294,3.116369319931479,invalid,file://charts/AIP_2025-08-05_short_execution_chart.png
LPSN,2025-08-06,charts/LPSN_2025-08-06_short_execution_chart.png,2.0604983960765355,6.747345955006975,invalid,file://charts/LPSN_2025-08-06_short_execution_chart.png
AVAH,2025-08-07,charts/AVAH_2025-08-07_short_execution_chart.png,1.0965511412902,1.796458942220182,suspicious,file://charts/AVAH_2025-08-07_short_execution_chart.png
