ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
VATE,2025-01-21,9.52,2.3199999999999994,45.401174168297445,114.28375733855182,31089908.0,5.11,5.21,7.43,10.9499,6.5501,2025-01
EONR,2025-01-21,1.34,0.53,51.9607843137255,86.27450980392155,134486007.0,1.02,1.03,1.55,1.9,1.25,2025-01
INM,2025-01-21,5.05,2.29,46.26262626262626,67.07070707070706,26115053.0,4.95,4.95,7.24,8.27,4.97,2025-01
BLBX,2025-01-22,5.52,1.6400000000000001,97.0414201183432,255.02366863905328,237548077.0,1.69,1.82,3.33,5.9999,2.68,2025-01
DGNX,2025-01-23,12.75,7.859999999999999,104.79999999999998,206.0,9759843.0,7.5,7.5,15.36,22.95,10.11,2025-01
VNCE,2025-01-23,3.9,2.03,86.38297872340425,137.01702127659573,134979670.0,2.35,2.96,4.38,5.5699,3.82,2025-01
HEPA,2025-01-23,10.0,2.8450000000000006,42.14814814814816,134.66666666666666,10805859.44,6.75,7.2,9.595,15.84,7.8,2025-01
ALUR,2025-01-24,8.69,13.09,353.78378378378375,354.32432432432427,70612146.0,3.7,3.7,16.79,16.81,7.3904,2025-01
NVNI,2025-01-24,4.4,0.6799999999999999,45.63758389261744,293.9597315436242,367836076.0,1.49,1.58,2.17,5.87,2.12,2025-01
EVAX,2025-01-24,6.03,3.3299999999999996,91.48351648351647,169.23076923076925,55785416.0,3.64,4.19,6.97,9.8,4.81,2025-01
ELAB,2025-01-24,21.7,13.86,100.0,105.55555555555554,11029167.1429,13.86,14.35,27.72,28.49,19.46,2025-01
JG,2025-01-27,14.53,10.4179,173.28221420136057,248.29759984032202,38722279.0,6.0121,6.24,16.43,20.94,11.63,2025-01
AKRO,2025-01-27,51.71,31.08,118.71657754010694,123.07104660045836,15270330.0,26.18,26.474,57.26,58.4,48.4705,2025-01
HOLO,2025-01-27,67.2,41.2,66.45161290322581,67.09677419354838,5138662.0,62.0,71.2,103.2,103.6,66.0,2025-01
ETNB,2025-01-27,9.0,3.4699999999999998,48.667601683029446,65.07713884992987,26113277.0,7.13,7.205,10.6,11.77,8.71,2025-01
SLXN,2025-01-28,20.25,9.45,108.62068965517241,168.94827586206898,15996991.8,8.7,9.75,18.15,23.3985,14.9993,2025-01
BACK,2025-01-28,1.22,0.5410000000000001,65.25934861278651,88.17852834740654,58877183.0,0.829,0.8838,1.37,1.56,1.05,2025-01
SLXN,2025-01-29,47.1,12.299999999999997,60.740740740740726,155.55555555555554,22029650.2,20.25,23.3985,32.55,51.75,27.6,2025-01
AMOD,2025-01-30,3.14,1.19,77.27272727272727,259.73376623376623,126590573.0,1.54,1.69,2.73,5.5399,2.7,2025-01
TECX,2025-01-30,54.84,23.78,92.45723172628306,127.91601866251945,5545582.0,25.72,25.72,49.5,58.62,47.01,2025-01
NLSP,2025-01-31,2.49,1.0499999999999998,53.03030303030302,70.2020202020202,61242764.0,1.98,2.019,3.03,3.37,2.29,2025-01
HCWB,2025-02-03,25.436,28.016,251.76132278936018,270.2372393961179,8616147.2,11.128,11.576,39.144,41.2,21.736,2025-02
UOKA,2025-02-03,5.95,4.45,136.92307692307693,244.91692307692307,14163449.64,3.25,3.95,7.7,11.2098,5.25,2025-02
GHRS,2025-02-03,17.99,9.4,88.67924528301887,93.39622641509435,10308537.0,10.6,10.63,20.0,20.5,17.51,2025-02
SOPA,2025-02-03,2.43,0.7200000000000002,47.36842105263159,90.78289473684211,115545261.0,1.52,1.66,2.24,2.8999,2.03,2025-02
VLCN,2025-02-04,25.6,18.96,70.95808383233533,202.39520958083835,6948656.875,26.72,27.04,45.68,80.8,24.4808,2025-02
QNTM,2025-02-04,6.71,2.6599999999999997,83.64779874213835,128.9308176100629,78571411.0,3.18,3.31,5.84,7.28,4.76,2025-02
AZTR,2025-02-04,2.1578,1.6417000000000002,88.510890662066,111.09553590683632,37343845.9459,1.8548,1.8648,3.4965,3.9154,1.6151,2025-02
EVAX,2025-02-04,3.27,1.5300000000000002,63.750000000000014,68.75,62828962.0,2.4,2.426,3.93,4.05,2.93,2025-02
PTIR,2025-02-04,15.246,4.637700000000001,44.79008721014458,54.71832958287861,25568145.0,10.3543,10.42,14.992,16.02,14.46,2025-02
OGEN,2025-02-05,8.88,7.5,87.99718409010912,121.7177050334389,8263239.4667,8.523,8.76,16.023,18.897,7.626,2025-02
KTTA,2025-02-05,2.74,1.5499999999999998,74.51923076923076,85.09615384615385,61494899.0,2.08,2.18,3.63,3.85,2.67,2025-02
LIPO,2025-02-06,4.65,4.02,155.81395348837208,183.33333333333331,86928043.0,2.58,2.63,6.6,7.31,4.07,2025-02
CDT,2025-02-07,42.75,16.799999999999997,72.25806451612901,138.70967741935485,9613325.4,23.25,27.3,40.05,55.5,33.75,2025-02
CYTH,2025-02-07,1.19,0.5700000000000001,74.02597402597402,88.3116883116883,84727953.0,0.77,0.83,1.34,1.45,0.97,2025-02
CYN,2025-02-10,27.705,4.245000000000001,47.00996677740865,227.24252491694355,13908267.1733,9.03,10.2,13.275,29.55,12.15,2025-02
PNBK,2025-02-10,2.35,0.9099999999999999,62.75862068965517,70.34482758620693,54047327.0,1.45,1.52,2.36,2.47,1.98,2025-02
DOMH,2025-02-11,7.46,4.27,69.31818181818181,83.92857142857142,33245308.0,6.16,6.5,10.43,11.33,7.33,2025-02
INAB,2025-02-11,9.204,3.8550000000000004,47.57497223250648,54.646427249167,7561146.7333,8.103,8.37,11.958,12.531,8.7,2025-02
LIPO,2025-02-11,4.32,1.5300000000000002,50.16393442622952,53.77049180327871,40012343.0,3.05,3.16,4.58,4.69,3.81,2025-02
TIVC,2025-02-12,11.9,2.5568,64.0,198.55319148936167,30368747.0,3.995,4.0783,6.5518,11.9272,5.9638,2025-02
NXU,2025-02-12,8.122,3.878,70.79225994888645,82.18327856882075,9345705.45,5.478,6.0,9.356,9.98,6.8782,2025-02
AMOD,2025-02-13,3.62,1.41,76.63043478260869,227.16847826086953,125942171.0,1.84,1.94,3.25,6.0199,3.14,2025-02
EDSA,2025-02-13,3.25,1.1300000000000001,60.752688172043015,141.39247311827953,115456916.0,1.86,1.99,2.99,4.4899,2.83,2025-02
JTAI,2025-02-14,6.03,3.25,125.96899224806202,217.82945736434104,104476130.0,2.58,2.59,5.83,8.2,5.0701,2025-02
WRD,2025-02-14,31.5,18.559999999999995,108.09551543389628,146.01048340128128,21075358.0,17.17,17.38,35.73,42.24,27.53,2025-02
KWE,2025-02-18,16.6782,6.656999999999998,67.8800856531049,169.8072805139186,13696641.9048,9.807,10.3383,16.464,26.46,14.8157,2025-02
EFOI,2025-02-18,2.72,0.6599999999999999,51.16279069767441,124.03100775193798,74699513.0,1.29,1.33,1.95,2.89,1.67,2025-02
PRFX,2025-02-18,3.71,2.4499999999999997,86.87943262411348,93.96808510638299,43838517.0,2.82,2.85,5.27,5.4699,3.3706,2025-02
SLDB,2025-02-18,5.3,2.6499999999999995,65.75682382133994,78.66004962779157,71207587.0,4.03,4.245,6.68,7.2,5.04,2025-02
OSRH,2025-02-19,5.46,2.5500000000000003,81.99356913183281,221.54340836012864,42095643.0,3.11,3.45,5.66,10.0,5.0,2025-02
SINT,2025-02-19,4.82,2.4600000000000004,87.2340425531915,116.6666666666667,70970295.0,2.82,2.9899,5.28,6.11,4.25,2025-02
XOS,2025-02-20,6.25,1.2999999999999998,41.53354632587859,192.32907348242816,96590886.0,3.13,3.23,4.43,9.1499,4.24,2025-02
WOK,2025-02-20,1.34,2.3099999999999996,92.77108433734938,140.96385542168673,116011305.0,2.49,2.5192,4.8,6.0,0.85,2025-02
APTO,2025-02-20,5.7,2.6370000000000005,58.639092728485664,70.11340893929288,6066443.0667,4.497,4.62,7.134,7.65,5.313,2025-02
MLGO,2025-02-21,190.8,59.403000000000006,172.1826086956522,918.2608695652174,17717848.5,34.5,37.2,93.903,351.3,79.5,2025-02
UPC,2025-02-21,8.056,4.668,81.89473684210526,144.77192982456137,10505314.725,5.7,6.072,10.368,13.952,7.08,2025-02
NAAS,2025-02-21,26.08,14.400000000000002,64.74820143884894,81.29496402877699,5283156.9375,22.24,23.04,36.64,40.32,24.32,2025-02
ATCH,2025-02-24,5.56,1.6699999999999995,71.06382978723403,461.27659574468083,146448389.0,2.35,2.39,4.02,13.19,4.0,2025-02
PEPG,2025-02-24,2.29,1.2399999999999998,90.51094890510947,227.007299270073,109229452.0,1.37,1.5,2.61,4.48,2.23,2025-02
RETO,2025-02-24,5.9,6.7410000000000005,166.07538802660756,203.03030303030303,7361253.4,4.059,4.1,10.8,12.3,5.411,2025-02
ATPC,2025-02-24,1.6,0.5539999999999999,59.18803418803418,142.5213675213675,76489318.0,0.936,0.948,1.49,2.27,1.15,2025-02
ONVO,2025-02-25,15.24,10.572,238.75338753387533,395.93495934959356,32191328.0833,4.428,4.44,15.0,21.96,11.28,2025-02
WAFU,2025-02-25,2.85,1.5,83.79888268156425,318.4301675977653,125457213.0,1.79,1.95,3.29,7.4899,2.41,2025-02
BREA,2025-02-25,9.406,3.6870000000000003,58.40329478853161,99.57231110407099,7707765.6,6.313,6.8,10.0,12.599,7.44,2025-02
ENVB,2025-02-26,2.3,1.89,160.16949152542372,281.35593220338984,135421195.0,1.18,1.48,3.07,4.5,2.12,2025-02
TRNR,2025-02-26,12.5,6.103,64.26239865220596,167.44235021585766,15882985.3,9.497,9.869,15.6,25.399,12.1,2025-02
SYTA,2025-02-26,4.17,3.49,99.71428571428572,99.71428571428571,23340159.0,3.5,3.76,6.99,6.99,3.73,2025-02
ULY,2025-02-27,8.0892,5.0927999999999995,101.04761904761904,127.61706349206348,12892670.75,5.04,5.76,10.1328,11.4719,7.2024,2025-02
XNET,2025-02-27,3.76,1.8400000000000003,63.44827586206898,65.68965517241378,49080300.0,2.9,2.9489,4.74,4.805,3.62,2025-02
NIXX,2025-02-27,1.71,0.7599999999999998,48.1012658227848,62.0253164556962,63774499.0,1.58,1.69,2.34,2.56,1.65,2025-02
NVVE,2025-02-28,2.7,1.9499999999999997,81.24999999999999,109.16250000000001,60749136.0,2.4,2.41,4.35,5.0199,2.52,2025-02
FTFT,2025-03-03,2.52,1.7359999999999998,85.94059405940592,147.37623762376236,22002598.0,2.02,2.199,3.756,4.997,2.2,2025-03
MASS,2025-03-04,3.88,1.52,76.76767676767678,102.02020202020203,125555227.0,1.98,2.25,3.5,4.0,3.09,2025-03
UOKA,2025-03-04,4.4,1.915,51.06666666666667,63.794666666666664,5278256.48,3.75,4.125,5.665,6.1423,4.05,2025-03
GV,2025-03-05,3.695,0.9899999999999998,76.74418604651162,208.5271317829457,188044772.0,1.29,1.39,2.28,3.98,2.11,2025-03
ARBB,2025-03-05,12.549,5.5035,70.5576923076923,87.01923076923077,5861051.7333,7.8,7.8,13.3035,14.5875,10.8,2025-03
CMRX,2025-03-05,8.46,3.4400000000000004,69.35483870967742,70.76612903225808,118555030.0,4.96,5.14,8.4,8.47,8.4,2025-03
SLXN,2025-03-05,21.75,6.75,40.54054054054054,60.36036036036037,5670127.0,16.65,17.1,23.4,26.7,19.5,2025-03
AGMH,2025-03-06,10.75,4.5600000000000005,89.14956011730206,182.297165200391,13894106.96,5.115,5.485,9.675,14.4395,9.5,2025-03
GV,2025-03-06,4.89,2.395,64.81732070365359,90.52503382949935,135249439.0,3.695,3.98,6.09,7.0399,4.05,2025-03
SCNX,2025-03-06,2.41,1.0499999999999998,47.72727272727271,64.09090909090907,49208846.0,2.2,2.42,3.25,3.61,2.26,2025-03
PSTV,2025-03-07,1.57,0.5750000000000002,39.93055555555557,60.40972222222221,103781620.0,1.44,1.54,2.015,2.3099,1.27,2025-03
RDFN,2025-03-10,9.77,4.209999999999999,72.33676975945015,79.89690721649485,94381872.0,5.82,5.98,10.03,10.47,9.44,2025-03
MLYS,2025-03-10,14.96,3.610000000000001,34.31558935361218,73.85931558935361,15229716.0,10.52,10.77,14.13,18.29,13.5,2025-03
TRVI,2025-03-10,6.07,2.29,53.25581395348837,71.86046511627906,57705813.0,4.3,4.55,6.59,7.39,5.7,2025-03
CKPT,2025-03-10,3.98,1.6099999999999999,65.1821862348178,65.18218623481779,61924933.0,2.47,2.52,4.08,4.08,3.96,2025-03
SPRC,2025-03-10,8.4,3.0470999999999995,45.40050062578222,61.13892365456821,5433706.8571,6.7116,7.035,9.7587,10.815,7.4655,2025-03
TSVT,2025-03-11,4.95,2.12,75.71428571428572,76.7857142857143,31485630.0,2.8,2.88,4.92,4.95,4.92,2025-03
TNON,2025-03-11,1.51,0.5700000000000001,45.60000000000001,60.00000000000001,42850998.0,1.25,1.31,1.82,2.0,1.48,2025-03
STI,2025-03-12,8.525,3.045,48.29500396510706,94.13164155432199,11693969.2,6.305,6.5,9.35,12.24,7.84,2025-03
SPGC,2025-03-13,4.2,2.487,76.75925925925927,97.68518518518519,12193133.0667,3.24,4.116,5.727,6.405,3.987,2025-03
RDUS,2025-03-14,27.81,14.684999999999999,107.50366032210835,108.63836017569545,8534952.0,13.66,14.29,28.345,28.5,26.57,2025-03
UOKA,2025-03-14,4.0275,1.4124999999999996,35.158680771624134,51.40012445550715,5597922.28,4.0175,4.04,5.43,6.0825,3.9275,2025-03
LSE,2025-03-19,12.5,3.67,47.23294723294724,92.92020592020593,15044913.0,7.77,7.9393,11.44,14.9899,11.13,2025-03
BDTX,2025-03-19,1.72,0.6799999999999999,40.476190476190474,65.47619047619047,114566834.0,1.68,1.73,2.36,2.78,1.71,2025-03
WINT,2025-03-20,2.18,0.8700000000000001,51.47928994082841,105.91715976331359,121995001.0,1.69,1.89,2.56,3.48,1.94,2025-03
ALUR,2025-03-21,3.58,1.5900000000000003,69.73684210526318,83.33333333333333,74451737.0,2.28,2.4499,3.87,4.18,3.09,2025-03
XHLD,2025-03-24,2.15,1.13,80.71428571428572,87.14285714285717,107862772.0,1.4,1.88,2.53,2.62,1.92,2025-03
TNON,2025-03-25,3.75,3.3318999999999996,340.65024026173194,498.09835395153874,291731057.0,0.9781,1.0,4.31,5.85,3.27,2025-03
DATS,2025-03-25,3.78,1.5499999999999998,71.75925925925924,174.537037037037,143616828.0,2.16,2.2401,3.71,5.93,2.96,2025-03
POAI,2025-03-25,1.69,0.9850000000000001,88.3408071748879,133.18385650224215,153455834.0,1.115,1.1525,2.1,2.6,1.51,2025-03
DM,2025-03-25,4.52,1.5899999999999999,70.04405286343611,100.0,53773657.0,2.27,2.296,3.86,4.54,3.72,2025-03
ALMS,2025-03-25,4.0,1.9250000000000003,50.993377483443716,50.99337748344372,13330933.0,3.775,3.89,5.7,5.7,3.92,2025-03
PTPI,2025-03-26,3.375,2.0549999999999997,142.2145328719723,297.9238754325259,63509234.24,1.445,1.525,3.5,5.75,3.075,2025-03
OSRH,2025-03-26,3.79,2.5501,159.38125,170.62499999999997,96151574.0,1.6,1.85,4.1501,4.33,2.89,2025-03
SURG,2025-03-26,2.35,1.02,73.91304347826087,113.768115942029,69737157.0,1.38,1.47,2.4,2.95,1.9501,2025-03
BLNE,2025-03-26,2.08,1.0900000000000003,57.97872340425534,67.5531914893617,40695439.0,1.88,2.1788,2.97,3.15,1.55,2025-03
GTEC,2025-03-27,2.17,0.9499999999999997,72.51908396946563,96.94656488549617,78574711.0,1.31,1.33,2.26,2.58,1.97,2025-03
DRMA,2025-03-27,14.2,8.5,62.96296296296296,75.55555555555556,7633164.9,13.5,14.6,22.0,23.7,13.5,2025-03
PRTG,2025-03-28,9.6,7.239999999999999,153.71549893842885,180.25477707006368,29921312.0,4.71,4.7583,11.95,13.2,8.7214,2025-03
DBVT,2025-03-28,6.2,2.12,54.21994884910486,73.39897698209717,21798435.0,3.91,4.15,6.03,6.7799,5.3,2025-03
CORT,2025-03-31,114.22,40.300000000000004,73.7689913966685,114.77210323997804,14339351.0,54.63,57.51,94.93,117.33,87.5821,2025-03
GRI,2025-04-01,2.02,6.13,191.5625,247.49999999999997,12187923.0,3.2,4.75,9.33,11.12,2.0,2025-04
NMAX,2025-04-01,233.0,42.47,50.85618488803736,217.32726619566515,11417874.0,83.51,83.51,125.98,265.0,114.22,2025-04
ICCT,2025-04-01,4.72,0.9199999999999999,41.07142857142856,141.96428571428567,209709483.0,2.24,2.37,3.16,5.42,2.91,2025-04
SATX,2025-04-01,1.97,0.78,65.0,67.49999999999999,18226533.0,1.2,1.22,1.98,2.01,1.95,2025-04
QNRX,2025-04-02,10.2375,4.494000000000001,60.68052930056712,98.48771266540643,5962280.7429,7.406,8.316,11.9,14.7,8.6415,2025-04
SBFM,2025-04-02,2.25,1.21,58.17307692307692,87.5,67962503.0,2.08,2.0999,3.29,3.9,2.02,2025-04
PTIX,2025-04-03,5.852,4.3386000000000005,136.5198237885463,172.2435494021397,12873834.3571,3.178,3.5728,7.5166,8.6519,4.8804,2025-04
ATPC,2025-04-03,1.28,0.7601,58.922480620155035,67.44186046511629,35216945.0,1.29,1.3,2.0501,2.16,1.11,2025-04
AREB,2025-04-04,19.5,4.04,102.020202020202,427.5252525252525,83206151.0,3.96,5.27,8.0,20.89,5.41,2025-04
JNVR,2025-04-07,37.7,10.27,256.75,1111.75,25056306.0,4.0,5.1609,14.27,48.47,11.59,2025-04
BJDX,2025-04-07,7.5,4.720000000000001,133.71104815864027,188.95184135977337,59504294.0,3.53,4.5,8.25,10.2,6.94,2025-04
NAOV,2025-04-08,72.0,52.9,179.93197278911566,452.72108843537416,9168181.6,29.4,30.2,82.3,162.5,68.9,2025-04
SXTP,2025-04-08,2.87,0.6716000000000002,37.34430604982207,145.21241103202848,85188432.0,1.7984,1.85,2.47,4.4099,2.35,2025-04
NXU,2025-04-08,2.55,1.48,66.07142857142857,87.5,16501334.0,2.24,2.73,3.72,4.2,2.21,2025-04
GLXG,2025-04-08,0.9493,0.6702000000000001,71.31304532879338,78.76143860395828,71939129.0,0.9398,0.96,1.61,1.68,0.7537,2025-04
VERO,2025-04-09,8.93,7.25,248.2876712328767,396.5753424657534,48158077.0,2.92,3.28,10.17,14.5,7.07,2025-04
PHIO,2025-04-09,1.54,1.1300000000000001,111.88118811881189,170.29702970297032,151485901.0,1.01,1.09,2.14,2.73,1.33,2025-04
STSS,2025-04-10,5.49,3.6899999999999995,87.85714285714285,167.85714285714283,5417128.87,4.2,4.95,7.89,11.25,5.01,2025-04
KTTA,2025-04-10,1.6,0.77,70.64220183486239,114.67889908256876,101512353.0,1.09,1.16,1.86,2.34,1.42,2025-04
PRFX,2025-04-10,2.15,0.99,54.395604395604394,91.75824175824177,74088090.0,1.82,1.8499,2.81,3.49,2.1006,2025-04
WHLR,2025-04-10,15.33,5.879999999999999,35.44303797468354,56.95780590717301,5440277.4286,16.59,17.1493,22.47,26.0393,14.7707,2025-04
MSPR,2025-04-11,2.5,1.95,152.34375,175.78125,87380388.0,1.28,1.3853,3.23,3.53,2.22,2025-04
BON,2025-04-11,1.7675,1.13,74.4645799011532,119.11037891268532,26331213.2,1.5175,1.55,2.6475,3.325,1.625,2025-04
BULL,2025-04-14,62.9,14.39,108.60377358490567,500.45283018867923,36885308.0,13.25,16.69,27.64,79.56,26.02,2025-04
XAGE,2025-04-14,6.12,5.226000000000001,139.80738362760837,149.03691813804173,9930879.2,3.738,4.14,8.964,9.309,5.043,2025-04
MURA,2025-04-15,2.41,1.2699999999999998,123.30097087378637,211.64077669902915,259771623.0,1.03,1.0696,2.3,3.2099,2.21,2025-04
SNYR,2025-04-15,2.2,2.1,117.31843575418995,127.93296089385473,63525279.0,1.79,2.0,3.89,4.08,2.06,2025-04
TGL,2025-04-16,3.81,1.62,77.88461538461539,111.53846153846155,100712902.0,2.08,2.32,3.7,4.4,3.16,2025-04
ICAD,2025-04-16,3.07,1.2449999999999999,64.50777202072538,75.12953367875647,21338814.0,1.93,1.98,3.175,3.38,2.85,2025-04
