ticker,v,vw,o,c,h,l,t,n,date,v_prev,vw_prev,o_prev,c_prev,h_prev,l_prev,t_prev,n_prev,date_prev,pm_high,pm_vol,prev_close,prev_high,gap,prev_volume,trig_day,prev_close_1,d2,scan_date,valid_last_close,valid_ema200,valid_ema_ratio,valid_market_cap,valid_hist_days,gap_pct,pm_high_pct,open_prev_high_pct
TGL,6749902.06,30.2,36.61,19.5,39.0,16.5,1735938000000,507765.0,2025-01-03,421580.44,15.425,9.0,9.475,9.475,8.555,1735851600000,24675.0,2025-01-02,39.0,6749902.06,9.475,9.475,27.134999999999998,421580.44,1,,0,2025-01-03,9.475,160.24926071814554,0.05912663782371581,5.611598122499999,344,286.3852242744063,311.6094986807388,286.38522427440637
RHE,41613441.0,5.1323,4.3,3.56,6.8,3.0701,1736197200000,280498.0,2025-01-06,13093.0,1.4837,1.48,1.55,1.55,1.41,1735938000000,91.0,2025-01-03,6.8,41613441.0,1.55,1.55,2.75,13093.0,1,,0,2025-01-06,1.55,1.950058972237805,0.7948477569482352,2.9128359500000003,336,177.41935483870967,338.7096774193548,177.41935483870967
KITT,50215832.0,5.6597,6.03,4.86,6.04,4.18,1736197200000,330518.0,2025-01-06,104799163.0,3.1629,1.62,3.8,3.95,1.51,1735938000000,360415.0,2025-01-03,6.04,50215832.0,3.8,3.95,2.2300000000000004,104799163.0,1,,0,2025-01-06,3.8,7.694560809525925,0.4938553471818133,24.348405,342,58.68421052631581,58.94736842105264,52.658227848101255
SPRC,9105020.0476,25.4268,20.7312,22.47,37.59,18.0621,1736197200000,350835.0,2025-01-06,262131.1429,10.2984,8.3979,11.0859,11.4303,8.19,1735938000000,5722.0,2025-01-03,37.59,9105020.0476,11.0859,11.4303,9.6453,262131.1429,1,,0,2025-01-06,11.0859,20.77580134504446,0.533596746324505,5.716233702900001,342,87.00511460503884,239.07937109301005,81.37056770163514
XTIA,10671784.388,38.55,52.5,28.525,60.0,25.0,1736283600000,858519.0,2025-01-07,6232875.968,19.1375,10.225,22.0,22.075,10.025,1736197200000,219211.0,2025-01-06,60.0,10671784.388,22.0,22.075,30.5,6232875.968,1,,0,2025-01-07,22.0,192.61181071020172,0.11421937169315426,25.910627423999998,206,138.63636363636365,172.72727272727272,137.82559456398639
SVMH,27753867.96,3.734,3.41,4.2,4.81,2.875,1736283600000,286475.0,2025-01-07,2684804.2,2.5135,2.48,2.315,2.515,2.25,1736197200000,33414.0,2025-01-06,4.81,27753867.96,2.315,2.515,1.0950000000000002,2684804.2,1,,0,2025-01-07,2.315,7.150019667316546,0.3237753331759486,25.3794148667,269,47.3002159827214,107.77537796976242,35.586481113320076
GETY,65771442.0,3.6774,3.7,3.19,3.865,3.08,1736283600000,345252.0,2025-01-07,1681859.0,2.5525,2.44,2.57,2.64,2.44,1736197200000,10347.0,2025-01-06,3.865,65771442.0,2.57,2.64,1.1300000000000003,1681859.0,1,,0,2025-01-07,2.57,3.5214242797440525,0.7298183336734405,1056.46233366,342,43.968871595330754,50.38910505836578,40.15151515151516
TPET,89318076.0,2.0953,2.0,2.04,2.61,1.4,1736370000000,390089.0,2025-01-08,4701936.0,1.2747,1.07,1.27,1.52,1.05,1736283600000,11919.0,2025-01-07,2.61,89318076.0,1.27,1.52,0.73,4701936.0,1,,0,2025-01-08,1.27,3.795630284047362,0.3345952858837905,4.79122867,336,57.48031496062992,105.51181102362204,31.578947368421062
SANA,161196062.0,5.3969,6.07,4.3,7.3,4.12,1736370000000,761403.0,2025-01-08,28604779.0,5.554,1.75,1.65,1.91,1.64,1736283600000,155254.0,2025-01-07,7.3,161196062.0,1.65,1.91,4.42,28604779.0,1,,0,2025-01-08,1.65,4.4180826655942615,0.37346517140780205,368.39366685,343,267.8787878787879,342.4242424242425,217.80104712041884
ACCD,24748329.0,6.8616,6.88,6.86,6.92,6.84,1736370000000,69533.0,2025-01-08,990361.0,3.4448,3.53,3.35,3.7,3.33,1736283600000,7248.0,2025-01-07,6.92,24748329.0,3.35,3.7,3.53,990361.0,1,,0,2025-01-08,3.35,5.188709314338467,0.645632622113291,269.799218,343,105.37313432835819,106.56716417910448,85.94594594594594
